system:time_start,sst
"Oct 29, 2019",29.09
"Oct 30, 2019",
"Oct 31, 2019",29.365
"Nov 1, 2019",29.29
"Nov 2, 2019",29.585
"Nov 3, 2019",30.135
"Nov 4, 2019",
"Nov 5, 2019",29.17
"Nov 6, 2019",
"Nov 7, 2019",
"Nov 8, 2019",29.045
"Nov 9, 2019",29.095
"Nov 10, 2019",
"Nov 11, 2019",30.145
"Nov 12, 2019",31.505
"Nov 13, 2019",
"Nov 14, 2019",29.42
"Nov 15, 2019",
"Nov 16, 2019",29.78
"Nov 17, 2019",30.3
"Nov 18, 2019",29.83
"Nov 19, 2019",29.43
"Nov 20, 2019",29.395
"Nov 21, 2019",30.195
"Nov 22, 2019",
"Nov 23, 2019",31.135
"Nov 24, 2019",31.205
"Nov 25, 2019",30.66
"Nov 26, 2019",31.235
"Nov 27, 2019",31.445
"Nov 28, 2019",29.86
"Nov 29, 2019",
"Nov 30, 2019",
"Dec 1, 2019",
"Dec 2, 2019",
"Dec 3, 2019",
"Dec 4, 2019",
"Dec 5, 2019",29.92
"Dec 6, 2019",
"Dec 7, 2019",
"Dec 8, 2019",
"Dec 9, 2019",31.63
"Dec 10, 2019",
"Dec 11, 2019",
"Dec 12, 2019",
"Dec 13, 2019",31.175
"Dec 14, 2019",
"Dec 15, 2019",
"Dec 16, 2019",31.765
"Dec 17, 2019",
"Dec 18, 2019",
"Dec 19, 2019",
"Dec 20, 2019",
"Dec 21, 2019",31.38
"Dec 22, 2019",
"Dec 23, 2019",
"Dec 24, 2019",
"Dec 25, 2019",
"Dec 26, 2019",
"Dec 27, 2019",29.795
"Dec 28, 2019",
"Dec 29, 2019",
"Dec 30, 2019",30.345
"Dec 31, 2019",
